,Park,HOUSE_NUMBER,STREET_ADDRESS,Suburb_x,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area,Affenpinscher,Afghan Hound,Airedale Terrier,Akita,Akita (Japanese),Alaskan Malamute,American Hairless Terrier,American Staffordshire Terrier,Anatolian Shepherd Dog,Australian Cattle Dog,Australian Kelpie,Australian Koolie,Australian Shepherd,Australian Silky Terrier,Australian Staghound,Australian Stumpy Tail Cattle Dog,Australian Terrier,Basenji,Basset Fauve de Bretagne,Basset Hound,Beagle,Bearded Collie,Bedlington Terrier,Belgian Shepherd,Belgian Shepherd Dog,Bernese Mountain Dog,Bichon Frise,Black Russian Terrier,Bloodhound,Bluetick Coonhound,Border Collie,Border Terrier,Borzoi,Boston Terrier,Bouvier des Flandres,Boxer,Bracco Italiano,Briard,British Bulldog,Brittany,Bull Arab,Bull Terrier,Bull Terrier (Miniature),Bulldog,Bullmastiff,Cairn Terrier,Canaan Dog,Canadian Eskimo Dog,Cane Corso,Cavalier King Charles Spaniel,Central Asian Shepherd Dog,Chesapeake Bay Retriever,Chihuahua,Chihuahua (Long Coat),Chihuahua (Smooth Coat),Chinese Crested Dog,Chow Chow,Clumber Spaniel,Cocker Spaniel,Cocker Spaniel (American),Collie (Rough),Collie (Smooth),Coton De Tulear,Curly Coated Retriever,Dachshund,Dalmatian,Dandie Dinmont Terrier,Deerhound,Dobermann,Dogue de Bordeaux,Dutch Shepherd Dog,English Setter,English Springer Spaniel,English Toy Terrier,Eurasier,Field Spaniel,Finnish Lapphund,Finnish Spitz,Flat Coated Retriever,Fox Terrier,Fox Terrier (Smooth),Fox Terrier (Wire),Foxhound,French Bulldog,German Hunting Terrier,German Pinscher,German Shepherd Dog,German Shepherd Dog (Long Stock Coat),German Shorthaired Pointer,German Spitz,German Wirehaired Pointer,Glen of Imaal Terrier,Golden Retriever,Gordon Setter,Grand Basset Griffon Vendeen,Great Dane,Greyhound,Griffon Bruxellois,Hamiltonstovare,Harrier,Havanese,Hungarian Vizsla,Ibizan Hound,Irish Red and White Setter,Irish Setter,Irish Terrier,Irish Wolfhound,Italian Corso Dog,Italian Greyhound,Italian Spinone,Jack Russell Terrier,Japanese Chin,Japanese Spitz,Kangal Dog,Keeshond,Kerry Blue Terrier,King Charles Spaniel,Kuvasz,Labrador Retriever,Lagotto Romagnolo ,Lakeland Terrier,Large Cross Breed,Large Munsterlander,Leonberger,Lhasa Apso,Lowchen,Maltese,Manchester Terrier,Maremma Sheepdog,Mastiff,Medium Cross Breed,Miniature Pinscher,Neapolitan Mastiff,Newfoundland,Norfolk Terrier,Norwegian Elkhound,Norwich Terrier,Nova Scotia Duck Tolling Retriever,Old English Sheepdog,Papillon,Parson Russell Terrier,Pekingese,Petit Basset Griffon Vendeen,Pharaoh Hound,Pointer,Polish Lowland Sheepdog,Pomeranian,Poodle,Poodle (Miniature),Poodle (Standard),Poodle (Toy),Portuguese Podengo,Portuguese Water Dog,Pug,Puli,Pyrenean Mountain Dog,Rhodesian Ridgeback,Rottweiler,Rough Collie,Russian Black Terrier,Russian Toy (Russkiy Toy) (Smooth Haired),Saluki,Samoyed,Schipperke,Schnauzer,Schnauzer (Giant),Schnauzer (Miniature),Scottish Terrier,Sealyham Terrier,Shar Pei,Shetland Sheepdog,Shiba Inu,Shih Tzu,Siberian Husky,Skye Terrier,Small Cross Breed,Smooth Collie,Soft Coated Wheaten Terrier,St Bernard,Staffordshire Bull Terrier,Stag Hound,Sussex Spaniel,Swedish Lapphund,Swedish Vallhund,Tenterfield Terrier,Tibetan Mastiff,Tibetan Spaniel,Tibetan Terrier,Unknown,Weimaraner,Welsh Corgi,Welsh Corgi (Cardigan),Welsh Corgi (Pembroke),Welsh Springer Spaniel,Welsh Terrier,West Highland White Terrier,Whippet,White Swiss Shepherd Dog,Yorkshire Terrier,Suburb_y,Address,dog area
121,GREY GUM PARK,822,RODE ROAD,STAFFORD HEIGHTS,4053,153.004836332399,-27.391890936936804,2255.23337633253,113017.117753067,0,0,0,1,0,1,0,21,0,31,47,1,4,3,0,0,2,1,0,1,13,2,0,0,1,0,10,0,0,0,61,1,0,3,0,10,0,0,4,0,17,3,0,1,6,0,0,0,0,37,0,0,12,1,0,0,1,0,19,1,0,0,0,0,22,5,0,0,3,0,0,0,2,0,0,1,0,0,0,23,2,0,0,4,0,1,31,0,4,1,0,0,38,0,0,4,11,1,0,0,1,6,0,0,0,0,3,0,1,0,24,0,3,0,0,0,2,0,78,0,0,1,0,0,2,1,55,0,4,11,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,27,3,0,1,0,0,16,0,0,17,7,0,0,0,0,1,0,11,0,1,0,0,2,4,0,19,4,0,1,0,0,0,62,0,0,0,0,7,0,4,1,5,2,1,0,0,0,0,4,6,1,0,Stafford Heights,"Grey Gum Park, 822 Rode Road, Stafford Heights",y
122,MARTINDALE STREET PARK,95,STRINGYBARK DRIVE,CHERMSIDE WEST,4032,153.003811230615,-27.3762631023826,1198.1945925939501,31521.9283570846,0,0,3,1,0,1,0,19,0,28,18,2,2,4,0,2,2,0,0,0,19,0,0,0,0,0,10,0,0,0,62,1,0,2,0,4,0,0,1,0,10,3,0,1,2,1,0,0,0,35,0,0,8,0,0,1,1,0,16,0,0,0,0,0,22,2,0,0,1,2,0,0,4,0,0,0,0,0,0,28,3,0,1,8,0,0,25,2,3,0,0,0,25,0,0,4,7,1,0,0,0,1,0,0,0,0,3,0,2,0,28,0,1,0,2,0,2,0,73,0,0,0,0,0,5,0,53,0,2,6,4,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,6,42,2,3,5,0,0,10,0,0,8,11,0,0,0,0,1,0,7,0,0,0,0,5,1,0,24,3,0,0,0,0,0,38,0,0,0,0,5,0,1,0,7,4,0,0,0,1,0,9,2,0,0,Chermside West,"Martindale Street Park, 95 Stringybark Drive, Chermside West",y
123,BLUE GUM PARK,73,KAKADU CIRCUIT,ZILLMERE,4034,153.033526892,-27.352584736999997,1146.60298592608,26676.876321197098,0,0,0,0,0,3,0,30,0,38,38,1,2,5,0,0,3,1,0,0,8,0,0,2,0,1,8,0,0,0,46,1,0,2,0,7,0,0,5,0,12,3,0,1,8,1,0,0,3,21,0,0,14,0,1,0,3,0,13,1,0,0,0,0,15,2,0,0,2,0,0,0,0,0,0,0,0,0,0,45,2,0,3,4,0,0,21,1,3,0,0,0,12,0,0,6,14,0,0,0,0,1,0,0,1,0,2,0,0,0,27,0,0,0,0,0,3,0,65,1,0,0,0,0,1,0,79,0,1,6,5,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,4,25,0,0,3,0,0,11,0,0,18,9,0,0,0,0,0,0,1,0,0,2,0,6,2,1,29,11,0,3,0,0,1,91,1,0,0,0,2,2,4,1,3,1,2,0,0,0,0,3,5,0,0,Zillmere,"Blue Gum Park, 18A Spano Street, Zillmere",y
124,FAULKNER PARK,183,LEYBOURNE STREET,GRACEVILLE,4075,152.98406768901,-27.5178876719732,2299.62424888896,114892.753925825,0,0,0,1,0,2,0,6,1,14,12,0,4,6,0,0,2,0,0,0,8,0,0,1,0,0,4,1,0,0,46,0,0,0,1,10,0,0,2,0,12,1,0,3,1,0,0,0,0,40,0,0,9,0,2,0,0,0,27,0,0,0,0,0,12,0,0,0,3,2,0,0,1,0,0,0,0,0,1,11,0,0,0,2,0,0,13,0,2,0,1,0,17,0,0,3,4,2,0,0,0,5,0,0,0,0,1,0,1,0,23,0,1,0,0,0,1,0,73,2,0,0,0,0,0,0,44,0,1,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,3,0,3,32,3,0,6,0,1,6,0,0,3,5,0,0,0,0,0,0,10,0,2,0,0,2,2,0,13,4,0,3,0,1,0,17,0,0,0,0,2,0,1,0,3,2,2,0,0,0,0,7,5,0,1,Graceville,"Faulkner Park, 80 Waratah Avenue, Graceville",y
125,WEMBLEY PARK,71,JACKSON STREET,COORPAROO,4151,153.060896590659,-27.4891730430327,2641.37218459897,117880.27304053599,0,0,0,2,2,1,0,17,0,39,43,1,8,14,0,2,5,2,0,0,34,0,1,2,0,5,21,0,0,0,76,0,0,6,0,10,0,1,8,0,6,9,0,4,4,1,0,0,0,119,0,0,18,1,1,0,1,0,46,1,0,0,0,1,28,5,0,0,7,3,0,2,4,0,0,0,0,0,0,29,2,0,0,12,0,1,25,2,3,2,0,0,56,0,0,12,12,3,0,0,2,3,0,0,2,0,4,0,3,0,43,0,8,0,1,0,10,0,147,1,2,1,0,0,11,0,92,2,0,3,3,2,1,0,0,0,1,0,1,0,0,1,0,1,0,0,14,86,8,4,10,0,1,12,0,0,17,12,1,0,0,0,2,0,21,0,9,0,0,5,4,2,26,5,0,2,0,0,0,74,0,0,0,1,6,1,6,1,2,0,5,0,0,1,1,22,6,0,4,Coorparoo,"Wembley Park, 71 Jackson Street, Coorparoo",y
126,WHITES HILL RESERVE,205,JONES ROAD,CAMP HILL,4152,153.083044722329,-27.5110415732265,6771.59000214886,1887089.30812031,0,0,2,0,0,1,0,18,0,36,34,0,2,12,0,0,5,2,0,0,25,2,0,0,0,0,15,0,0,0,97,4,0,3,0,15,0,0,8,3,15,3,0,1,4,7,0,0,0,91,0,0,19,0,2,0,1,0,38,0,0,0,0,0,42,7,0,0,5,0,0,0,6,1,0,0,2,0,0,22,2,0,0,14,0,0,19,2,7,1,0,1,54,0,0,4,17,0,0,0,2,3,0,0,1,1,1,0,2,0,51,0,4,1,1,0,10,0,141,2,0,0,0,0,13,0,85,1,4,5,2,2,2,0,0,0,0,0,0,3,0,0,0,1,1,0,10,110,3,0,6,0,1,16,0,0,13,8,0,0,0,0,4,0,24,0,5,3,0,4,2,1,33,7,0,2,0,2,2,70,0,0,0,0,2,0,2,0,2,5,6,0,1,0,1,17,4,0,1,Camp Hill,"Whites Hill Reserve, 205 Jones Road, Camp Hill",y
127,PERTH STREET PARK,74,PERTH STREET,CAMP HILL,4152,153.075632315512,-27.4861013381891,1293.44879653011,53997.7962868345,0,0,2,0,0,1,0,18,0,36,34,0,2,12,0,0,5,2,0,0,25,2,0,0,0,0,15,0,0,0,97,4,0,3,0,15,0,0,8,3,15,3,0,1,4,7,0,0,0,91,0,0,19,0,2,0,1,0,38,0,0,0,0,0,42,7,0,0,5,0,0,0,6,1,0,0,2,0,0,22,2,0,0,14,0,0,19,2,7,1,0,1,54,0,0,4,17,0,0,0,2,3,0,0,1,1,1,0,2,0,51,0,4,1,1,0,10,0,141,2,0,0,0,0,13,0,85,1,4,5,2,2,2,0,0,0,0,0,0,3,0,0,0,1,1,0,10,110,3,0,6,0,1,16,0,0,13,8,0,0,0,0,4,0,24,0,5,3,0,4,2,1,33,7,0,2,0,2,2,70,0,0,0,0,2,0,2,0,2,5,6,0,1,0,1,17,4,0,1,Camp Hill,"Perth Street Park, 74 Perth Street, Camp Hill",y
128,RAYMOND PARK,184,WELLINGTON ROAD,KANGAROO POINT,4169,153.038793832316,-27.4807631308322,1819.3602685998198,50855.3691269925,0,0,0,0,0,0,0,6,0,5,3,0,1,5,0,0,0,1,0,0,5,0,0,0,0,0,8,0,0,0,12,0,0,9,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,33,0,0,3,1,0,0,0,0,10,0,0,0,1,0,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,16,0,0,6,0,4,0,0,0,11,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3,0,9,0,0,0,1,2,3,0,28,1,0,0,0,0,7,1,39,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,25,7,0,9,0,0,11,0,0,3,0,0,0,0,0,2,0,8,0,7,0,0,1,0,1,8,1,0,0,0,0,0,12,0,0,0,0,1,1,0,1,1,0,1,0,2,1,0,6,3,0,2,Kangaroo Point,"Raymond Park, 184 Wellington Road, Kangaroo Point",y
129,VICTORIA PARK,271,GILCHRIST AVENUE,HERSTON,4006,153.022209272038,-27.4530924733756,8663.135580970269,584375.689400222,0,0,1,0,0,1,0,1,0,7,2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,6,1,1,0,0,0,2,0,0,0,3,0,0,0,0,2,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,18,0,0,0,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,5,0,0,Herston,"Victoria Park, 290 Gilchrist Avenue, Herston",y
130,7TH BRIGADE PARK,21,KITTYHAWK DR,CHERMSIDE,4032,153.03871545209,-27.3800187727564,5959.281138062729,733297.743613218,1,0,1,0,0,2,0,10,0,18,20,1,2,3,0,0,4,1,0,1,3,0,0,1,0,0,4,0,0,0,26,1,0,3,0,7,0,0,1,0,11,1,0,2,3,0,0,0,0,21,1,0,14,4,0,1,0,0,6,0,0,0,0,0,14,1,0,0,1,3,0,0,0,0,0,0,0,0,0,13,3,0,0,8,0,0,11,1,2,1,0,0,13,0,0,2,5,0,0,0,1,1,0,0,0,0,1,0,0,0,23,0,3,0,0,0,2,0,48,0,0,1,0,0,4,0,51,0,2,4,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,14,2,0,3,0,0,10,0,0,0,6,0,0,0,0,1,0,5,0,2,0,0,6,0,1,18,6,0,2,0,1,0,33,0,0,0,0,1,0,5,0,2,0,1,0,0,0,0,6,1,1,1,Chermside,"7th Brigade Park, 21 Kittyhawk Drive, Chermside",y
131,BURNIE BRAE PARK,60,KURAN STREET,CHERMSIDE,4032,153.035390245261,-27.389683478775602,830.88432826352,39095.3456950307,1,0,1,0,0,2,0,10,0,18,20,1,2,3,0,0,4,1,0,1,3,0,0,1,0,0,4,0,0,0,26,1,0,3,0,7,0,0,1,0,11,1,0,2,3,0,0,0,0,21,1,0,14,4,0,1,0,0,6,0,0,0,0,0,14,1,0,0,1,3,0,0,0,0,0,0,0,0,0,13,3,0,0,8,0,0,11,1,2,1,0,0,13,0,0,2,5,0,0,0,1,1,0,0,0,0,1,0,0,0,23,0,3,0,0,0,2,0,48,0,0,1,0,0,4,0,51,0,2,4,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,14,2,0,3,0,0,10,0,0,0,6,0,0,0,0,1,0,5,0,2,0,0,6,0,1,18,6,0,2,0,1,0,33,0,0,0,0,1,0,5,0,2,0,1,0,0,0,0,6,1,1,1,Chermside,"Burnie Brae Park, 106 Meemar Street, Chermside",y
132,MACTIER STREET PARK,745,FIG TREE POCKET ROAD,FIG TREE POCKET,4069,152.963500567202,-27.536080824792105,3217.32707018123,284198.722589528,0,0,0,0,0,2,0,3,0,15,14,1,3,4,0,0,2,0,0,0,9,3,1,2,0,0,12,0,0,0,35,1,0,0,0,7,1,0,0,0,3,0,0,0,0,1,0,0,0,30,0,0,4,0,0,1,0,0,23,0,0,0,0,1,17,4,0,2,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,16,0,2,1,0,0,23,0,0,2,4,1,0,0,1,2,0,0,0,0,3,0,1,0,15,0,2,0,0,2,3,0,56,1,0,2,0,0,4,1,23,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,4,39,6,0,2,0,2,6,0,0,3,4,0,0,0,0,0,1,7,0,1,0,0,1,2,1,11,1,0,2,0,2,0,19,0,0,0,1,0,0,3,0,3,3,1,0,0,1,1,8,5,0,1,Fig Tree Pocket,"Mactier Street Park, 745 Fig Tree Pocket Road, Fig Tree Pocket",y
133,JINDALEE BOAT RAMP PARK,99,MT OMMANEY DRIVE,JINDALEE,4074,152.928983469,-27.529612519,1347.24965978037,36752.8945933974,0,0,1,0,0,0,0,4,0,28,29,1,1,6,0,0,6,0,0,1,15,0,0,1,0,1,6,0,0,0,41,1,0,2,0,5,0,0,3,0,2,0,0,0,4,1,0,0,0,17,0,0,10,1,0,0,0,0,14,0,0,0,0,1,20,0,0,0,0,2,0,0,4,0,0,0,2,0,0,21,0,0,0,2,0,0,16,1,3,0,0,0,24,0,0,4,8,0,0,0,0,1,0,0,0,0,4,0,2,0,18,0,2,0,1,0,0,0,71,0,0,0,0,0,4,0,31,0,0,3,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,6,34,3,2,1,0,0,6,0,0,10,7,0,0,0,0,0,1,6,0,4,1,0,5,3,0,7,3,0,1,0,2,0,41,0,0,0,0,3,1,7,0,3,1,3,1,0,0,0,6,4,0,0,Jindalee,"Jindalee Boat Ramp Park, 99 Mt Ommaney Drive, Jindalee",y
134,KOOKABURRA PARK - WEST,54,CARINGAL DRIVE,KARANA DOWNS,4306,152.83872118899998,-27.544460488000002,2718.1060483791002,146235.573932726,0,0,0,0,0,5,0,10,1,30,30,2,1,2,0,0,7,0,0,1,13,0,0,0,0,0,4,0,0,0,54,2,0,0,0,9,0,0,4,0,12,1,0,3,0,0,0,0,0,20,0,0,10,0,0,0,0,0,13,0,0,0,0,0,14,4,0,0,1,0,0,0,0,0,0,0,0,0,0,20,2,0,0,2,0,0,37,1,7,0,0,0,14,0,0,5,5,0,0,0,0,0,0,0,1,1,4,0,2,0,25,0,1,0,0,0,4,0,48,1,0,0,0,0,1,0,37,0,5,4,1,0,1,0,0,0,0,1,1,1,0,1,0,0,2,0,1,20,1,0,1,0,0,2,0,0,10,7,1,0,0,0,0,0,3,0,2,0,0,3,0,1,10,2,0,0,0,0,1,42,0,0,0,0,1,0,1,0,2,2,2,0,0,0,0,6,3,0,2,Karana Downs,"Kookaburra Park - West, 11 Nalya Crescent, Karana Downs",y
135,HOLMEAD PARK,2,HOLMEAD ROAD,EIGHT MILE PLAINS,4113,153.092619694368,-27.566344179969697,1715.73703829486,98383.9416336342,0,0,0,2,0,3,0,13,0,11,25,1,1,4,0,0,0,1,0,0,18,2,0,2,0,0,16,0,0,0,38,3,0,2,0,5,0,0,3,0,6,1,0,2,6,5,0,0,0,41,0,0,22,1,0,0,0,0,15,0,0,0,0,0,18,4,0,0,5,1,0,0,0,0,0,0,0,0,0,26,3,0,1,4,0,0,17,0,0,0,0,0,15,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,34,1,7,0,0,0,3,0,55,0,0,0,0,0,8,0,83,0,0,5,2,1,1,0,0,0,0,0,0,2,1,2,0,0,2,0,12,35,4,0,9,0,0,6,0,0,5,17,0,0,0,0,4,0,3,0,3,0,0,2,2,1,26,6,0,0,0,0,1,37,1,0,0,0,3,2,6,2,4,0,1,0,0,0,0,4,0,0,1,Eight Mile Plains,"Holmead Park, 2 Holmead Road, Eight Mile Plains",y
136,MT CROSBY SPORTSGROUND,491,ALLAWAH ROAD,CHUWAR,4306,152.795984788492,-27.539893972537303,1442.37894381994,136961.458332638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,Chuwar,"Mt Crosby Sportsground, 491 Allawah Road, Chuwar",y
137,ANZAC PARK,100,DEAN STREET,TOOWONG,4066,152.980023195998,-27.4795734321053,1693.61058136023,132153.93603771098,0,0,3,0,0,2,0,6,0,15,27,1,0,6,0,1,3,0,0,2,15,0,0,0,0,0,11,0,1,0,43,3,0,2,1,6,0,0,3,0,3,2,0,1,0,2,0,0,0,47,0,0,8,2,0,0,0,0,32,1,0,0,0,0,23,2,0,0,2,0,0,0,2,0,0,0,0,0,0,19,0,0,0,9,0,0,11,1,10,0,0,0,27,0,0,6,4,0,0,0,1,3,0,0,0,0,3,0,3,0,21,0,0,0,0,0,6,0,60,1,0,0,0,0,4,2,44,2,0,3,3,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,4,44,6,3,11,0,2,7,0,0,7,4,0,0,0,0,1,2,10,0,3,2,0,1,1,1,14,4,0,0,0,0,0,18,0,0,0,0,3,0,0,0,1,2,2,0,1,0,2,12,6,0,1,Toowong,"Anzac Park, 100 Dean Street, Toowong",y
138,PERRIN PARK,56,JOSLING STREET,TOOWONG,4066,152.992082954523,-27.4916926629743,1341.34964412991,75903.8726294178,0,0,3,0,0,2,0,6,0,15,27,1,0,6,0,1,3,0,0,2,15,0,0,0,0,0,11,0,1,0,43,3,0,2,1,6,0,0,3,0,3,2,0,1,0,2,0,0,0,47,0,0,8,2,0,0,0,0,32,1,0,0,0,0,23,2,0,0,2,0,0,0,2,0,0,0,0,0,0,19,0,0,0,9,0,0,11,1,10,0,0,0,27,0,0,6,4,0,0,0,1,3,0,0,0,0,3,0,3,0,21,0,0,0,0,0,6,0,60,1,0,0,0,0,4,2,44,2,0,3,3,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,4,44,6,3,11,0,2,7,0,0,7,4,0,0,0,0,1,2,10,0,3,2,0,1,1,1,14,4,0,0,0,0,0,18,0,0,0,0,3,0,0,0,1,2,2,0,1,0,2,12,6,0,1,Toowong,"Perrin Park, 56 Josling Street, Toowong",y
139,THOMAS MACLEOD PARK,40,SINNAMON ROAD,SINNAMON PARK,4073,152.9561382,-27.53802809,2305.20869420344,103486.377831734,0,0,8,1,0,1,0,1,0,12,15,1,0,1,0,1,6,0,0,2,15,1,1,1,0,1,10,0,0,0,27,1,0,0,0,4,0,0,0,0,7,1,0,0,2,1,1,1,0,48,0,0,9,0,1,0,0,0,15,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,1,0,0,3,0,0,19,0,2,0,0,0,17,0,0,1,8,2,0,1,2,2,0,0,2,0,0,0,2,0,26,0,5,0,0,0,5,0,61,0,0,0,0,0,3,0,59,0,2,1,1,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,10,38,5,1,3,0,0,5,0,0,8,6,1,0,0,0,0,3,8,0,1,0,0,1,2,0,16,5,0,1,0,0,0,27,1,0,0,0,0,0,4,0,1,2,0,0,1,0,0,7,4,1,0,Sinnamon Park,"Thomas Macleod Park, 40 Sinnamon Road, Sinnamon Park",y
140,JULIE ROAD PARK,12A,JULIE ROAD,ELLEN GROVE,4078,152.935392885575,-27.6140301700319,324.062010096731,3587.77329576427,0,0,0,0,0,0,0,10,0,11,7,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,4,1,0,3,1,0,0,0,0,3,0,0,7,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,10,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,1,0,0,0,0,0,9,0,0,0,0,0,1,0,13,0,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,2,0,0,5,4,0,0,0,0,0,0,1,0,0,0,0,6,0,1,7,2,0,1,0,0,0,25,0,0,0,0,2,0,2,0,1,0,0,0,2,0,0,1,2,0,0,Ellen Grove,"Julie Road Park, 12A Julie Road, Ellen Grove",y
141,KALINGA PARK,48,KALINGA STREET,KALINGA,4030,153.053421485819,-27.408005749914498,3739.97155957074,198018.738348149,0,0,1,0,0,1,0,3,0,12,4,0,2,0,0,0,3,0,0,0,6,0,0,1,0,0,0,0,0,0,16,1,0,0,0,2,0,0,1,0,1,0,0,0,2,0,0,0,0,15,0,0,3,0,0,0,0,0,10,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,5,0,1,2,0,0,10,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,40,1,0,0,0,0,1,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,17,3,0,3,0,1,4,0,0,3,2,1,0,0,1,0,0,5,0,0,0,0,2,1,0,8,1,0,0,0,1,0,12,0,0,0,0,1,0,0,0,1,1,2,0,1,0,0,3,2,0,0,Kalinga,"Kalinga Park, 48 Kalinga Street, Kalinga",y
142,TUCKEROO PARK,1553,NUDGEE ROAD,NUDGEE BEACH,4014,153.10368404062402,-27.366610114774105,7744.264731448579,539709.359110483,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,Nudgee Beach,"Tuckeroo Park, 1553 Nudgee Road, Nudgee Beach",y
143,GRANGE FOREST PARK,105,RAYMONT ROAD,GRANGE,4051,153.009408199,-27.415085478,4212.51762306558,191091.560905755,0,0,3,0,0,1,0,4,0,14,16,0,3,5,0,0,2,0,0,1,13,1,1,0,0,0,9,0,0,0,42,0,0,4,0,5,0,0,2,2,3,2,0,1,1,0,0,0,0,48,0,0,2,0,0,0,0,0,26,1,0,0,0,0,14,0,0,0,1,0,0,0,4,0,0,0,0,0,0,13,0,1,0,2,0,0,9,0,3,0,0,0,27,0,0,1,5,1,0,0,1,1,0,0,0,0,1,0,0,0,17,0,0,0,1,0,2,0,68,2,0,2,0,0,1,0,33,0,2,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,51,2,0,1,0,0,5,0,1,6,2,0,0,0,0,0,0,16,0,4,0,0,0,2,2,13,3,0,2,0,1,0,23,1,0,0,0,1,0,2,0,2,1,0,0,0,0,2,11,3,0,0,Grange,"Grange Forest Park, 105 Raymont Road, Grange",y
