OBJECTID,PARK_NUMBER,PARK_NAME,SAP_ASSET_ID,HOUSE_NUMBER,STREET_ADDRESS,SUBURB,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area
652,D1937,SPINE STREET PARK,B-RE-0153,7,WOLSTON ROAD,SUMNER,4074,152.940803828398,-27.5689171091699,1536.33189459504,85542.3565852239
653,D1938,DANDYS RANGE BUSHLAND,B-RE-0152,40,DANDYS COURT,KHOLO,4306,152.79279659581,-27.4959254816835,9387.64150162437,1188546.32842042
654,D1939,MT CROSBY SPORTSGROUND,B-RE-0151,491,ALLAWAH ROAD,CHUWAR,4306,152.795984788492,-27.5398939725373,1442.37894381994,136961.458332638
655,D1940,MUSCARI CRESCENT PARK,B-RE-0150,59,MUSCARI CRESCENT,DREWVALE,4116,153.045918736271,-27.6408918764578,361.179014484319,5356.40202172404
656,D1944,BEAUDESERT ROAD PARK (NO. 2911),B-RE-0148,2939,BEAUDESERT ROAD,PARKINSON,4115,153.036412589833,-27.6437342099061,3169.2340297938,330383.441361414
657,D1945,BELGENNY WAY PARK,B-RE-0147,90,LOCKROSE STREET,MITCHELTON,4053,152.967430446625,-27.4136852575301,1049.07207416513,16771.4213388782
658,D1946,CATALINA PARK,B-RE-0146,71,MACQUARIE STREET,TENERIFFE,4005,153.050571437768,-27.459684966415,1166.68954850507,7546.99231135674
659,D1947,ETON AVENUE PARK,B-RE-0145,289,ABERDEEN PARADE,BOONDALL,4034,153.071009958519,-27.3519386275735,698.741499637944,17777.3368651589
660,D1948,MERTHYR ROAD PARK,B-RE-0144,199,MERTHYR ROAD,NEW FARM,4005,153.052816509,-27.465690889,1326.20664232212,3754.28496256735
661,D1949,SENDEN CRESCENT PARK,B-RE-0143,94,SENDEN CRESCENT,MANLY WEST,4179,153.149969362381,-27.4729379292625,293.946688913291,4979.19431806497
662,D1950,ASHGROVE AVENUE PARK,B-RE-0142,1A,QUANDONG STREET,ASHGROVE,4060,153.004946188988,-27.436780863582,1269.56197171477,37448.0254017722
663,D1951,WOLSTON ROAD PARK,B-RE-0141,197,WOLSTON ROAD,SUMNER,4074,152.931671304449,-27.5678155796637,3478.19753368969,238391.104452228
664,D1952,TALTARNI CIRCUIT PARK,B-RE-0140,864,SAMFORD ROAD,MITCHELTON,4053,152.962936494883,-27.4122035202943,157.512575262,1109.19389251695
665,D1953,ST ANDREWS AVENUE PARK,B-RE-0139,6,ST ANDREWS AVENUE,FOREST LAKE,4078,152.969659953553,-27.6300879752575,246.498932533537,3938.06403988357
666,D1954,MENSFORTH BUSHLAND,B-RE-0138,122,CHILDS STREET,BRACKEN RIDGE,4017,153.049220785039,-27.3259453694622,1142.22337801964,82529.5710726337
667,D1956,CHRIS BRUNTON PARK,B-RE-0137,80,ELSTREE STREET,BALD HILLS,4036,153.017012763032,-27.3155432422404,641.354827882888,25126.9777953769
668,D1957,HOYLAND STREET PARK (NO.10),B-RE-0136,91A,ELSTREE STREET,BALD HILLS,4036,153.018219312097,-27.3176115367147,2258.05129803544,92859.8560664564
669,D1958,PRIORS POCKET ROAD PARK (NO. 545),B-RE-0135,545,PRIORS POCKET ROAD,MOGGILL,4070,152.900127289,-27.601696456,3811.58840299639,60911.7264079468
670,D1959,PRIORS POCKET ROAD PARK (NO. 530),B-RE-0124,530,PRIORS POCKET ROAD,MOGGILL,4070,152.902870986038,-27.5973885070731,2154.03386292654,240872.767418583
671,D1960,SHELDRAKE PLACE PARK,B-RE-0123,19,WEEKES ROAD,MOGGILL,4070,152.887150746118,-27.5701823146682,1245.33161875871,20860.5260365617
672,D1961,BUCKINGHAM PLACE PARK,B-RE-0122,81,MANCHESTER STREET,EIGHT MILE PLAINS,4113,153.09651578152,-27.5751507644387,392.88126011113,7271.94388370615
673,D1962,BROWNLEE STREET PARK,B-RE-0121,25,BANCROFT ROAD,PINKENBA,4008,153.135972308,-27.396319949,2370.76327567946,49322.4911389904
674,D1963,THE ESPLANADE PARK,B-RE-0202,64,TROUT STREET,ASHGROVE,4060,152.991837446,-27.448785791,691.006439502077,5006.75720607156
